Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
UEFA_European_Championship,0,1,0,0,0,1
Premier_League,85,71,83,6,85,65
UEFA_Champions_League,100,4,0,0,100,4
Handball,81,70,100,5,80,65
Hockey,0,0,0,0,0,0
Field_hockey,85,78,100,8,83,70
Ice_hockey,65,122,100,17,59,105
National_Hockey_League,54,202,100,7,53,195
Lacrosse,69,62,100,3,68,59
Polo,81,26,100,9,71,17
Rugby_football,83,18,0,0,83,18
Rugby_league,23,26,100,4,9,22
Rugby_sevens,100,8,100,6,100,2
Rugby_union,52,58,0,0,52,58
Volleyball,81,135,100,5,81,130
Beach_volleyball,88,8,100,5,67,3
Sport_of_athletics,74,68,100,1,73,67
Decathlon,50,2,0,0,50,2
Discus_throw,50,4,0,0,50,4
